2022-11-02 17:27:46,252 INFO     ts_ms:1667410053211 stream:{'bits_per_second': 2097145.7500186265, 'snd_cwnd': 53576, 'retransmits': 0, 'rttvar': 6525, 'end': 18.00006, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000029802322388, 'omitted': False, 'sender': True, 'rtt': 73103, 'bytes': 262144, 'start': 17.000057}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410054211 stream:{'bits_per_second': 2097152, 'snd_cwnd': 56472, 'retransmits': 0, 'rttvar': 3551, 'end': 19.00006, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 72911, 'bytes': 262144, 'start': 18.00006}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410055211 stream:{'bits_per_second': 2097150.0000019073, 'snd_cwnd': 39096, 'retransmits': 1, 'rttvar': 3161, 'end': 20.000061, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000009536743164, 'omitted': False, 'sender': True, 'rtt': 50457, 'bytes': 262144, 'start': 19.00006}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410056211 stream:{'bits_per_second': 2097160.3750334457, 'snd_cwnd': 43440, 'retransmits': 0, 'rttvar': 4902, 'end': 21.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999960064888, 'omitted': False, 'sender': True, 'rtt': 58749, 'bytes': 262144, 'start': 20.000061}
2022-11-02 17:27:46,252 INFO     ts_ms:1667410057211 stream:{'bits_per_second': 2097150.0000019073, 'snd_cwnd': 23168, 'retransmits': 2, 'rttvar': 2848, 'end': 22.000058, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000009536743164, 'omitted': False, 'sender': True, 'rtt': 32955, 'bytes': 262144, 'start': 21.000057}
2022-11-02 17:27:46,253 INFO     ts_ms:1667410058211 stream:{'bits_per_second': 2097154.125002153, 'snd_cwnd': 28960, 'retransmits': 0, 'rttvar': 4600, 'end': 23.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 39739, 'bytes': 262144, 'start': 22.000058}
2022-11-02 17:27:46,253 INFO     ts_ms:1667410059211 stream:{'bits_per_second': 2097152, 'snd_cwnd': 34752, 'retransmits': 0, 'rttvar': 5666, 'end': 24.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 43791, 'bytes': 262144, 'start': 23.000057}
2022-11-02 17:27:46,253 INFO     ts_ms:1667410060211 stream:{'bits_per_second': 2097150.0000019073, 'snd_cwnd': 31856, 'retransmits': 0, 'rttvar': 4869, 'end': 25.000058, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000009536743164, 'omitted': False, 'sender': True, 'rtt': 54602, 'bytes': 262144, 'start': 24.000057}
2022-11-02 17:27:46,253 INFO     ts_ms:1667410061211 stream:{'bits_per_second': 2097147.7500086129, 'snd_cwnd': 14480, 'retransmits': 1, 'rttvar': 1471, 'end': 26.00006, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000020265579224, 'omitted': False, 'sender': True, 'rtt': 52630, 'bytes': 262144, 'start': 25.000058}
2022-11-02 17:27:46,253 INFO     ts_ms:1667410062211 stream:{'bits_per_second': 1048579.1250093132, 'snd_cwnd': 34752, 'retransmits': 0, 'rttvar': 2149, 'end': 27.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999970197677612, 'omitted': False, 'sender': True, 'rtt': 45937, 'bytes': 131072, 'start': 26.00006}
